state_fips,state_abbrev,state_name,year,beer_tax_usd_per_gallon,policy_change_count_sunday_sales,policy_change_count_underage_purchase,fars_fatalities_total,fars_fatalities_alcohol_involved,fars_fatalities_impaired,rate_alcohol_involved_per100k,rate_impaired_per100k,unemployment_rate,pcpi_nominal,population_thousands,vmt_total_million,vmt_per_capita
41,OR,Oregon,2019,0.08,0,0,493,170,125,4.032147123086746,2.964814061093196,3.725,52190.0,4216.116,35808.0,8493.124951970012
41,OR,Oregon,2020,0.08,0,0,507,156,112,3.6759689889600753,2.639157222843131,7.574999999999999,56594.0,4243.779,32298.0,7610.669641373879
41,OR,Oregon,2021,0.08,0,0,599,182,137,4.2780446985153775,3.2202863939373993,5.1499999999999995,62379.0,4254.28,36842.0,8659.984768280414
41,OR,Oregon,2022,0.08,0,0,602,195,155,4.5910741983513566,3.64931538843313,3.925,63986.0,4247.372,36576.0,8611.44255789227
41,OR,Oregon,2023,0.08,0,0,587,171,131,4.020074039889948,3.0797058434244637,3.7583333333333337,67514.0,4253.653,36816.0,8655.148880268325
42,PA,Pennsylvania,2003,0.08,3,3,1577,537,911,4.339513867777194,7.361819615540082,5.7,33066.0,12374.658,103690.65779100482,8379.274626499158
42,PA,Pennsylvania,2004,0.08,0,0,1490,536,884,4.318846236343059,7.122873270386686,5.341666666666668,34860.0,12410.722,106365.88746034831,8570.48344651893
42,PA,Pennsylvania,2005,0.08,0,0,1616,560,899,4.497995580719342,7.2208893340476585,4.991666666666666,36173.0,12449.99,107249.84550968524,8614.452341703507
42,PA,Pennsylvania,2006,0.08,0,0,1525,527,800,4.212357490231048,6.394470573405764,4.7250000000000005,37803.0,12510.809,108135.56150148805,8643.370824499683
42,PA,Pennsylvania,2007,0.08,0,0,1491,544,782,4.329852975225839,6.224163651887142,4.591666666666667,40008.0,12563.937,108699.0,8651.667069008703
42,PA,Pennsylvania,2008,0.08,0,0,1468,553,770,4.384613890345801,6.1051585814941545,5.383333333333333,41467.0,12612.285,107848.0,8551.027827233527
42,PA,Pennsylvania,2009,0.08,0,0,1256,456,627,3.5999456218740273,4.949925230076788,8.016666666666666,40446.0,12666.858,,
